"","switch","type","value","optimise","random","lower","upper","parscale"
"cdist_sumofsquares_EcoS_sexdist_weight","cdist_sumofsquares_EcoS_sexdist_weight","",29.672328,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_EggaN_aldist_female_weight","cdist_sumofsquares_EggaN_aldist_female_weight","",6000,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_EggaN_aldist_male_weight","cdist_sumofsquares_EggaN_aldist_male_weight","",6000,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_EggaN_ldist_weight","cdist_sumofsquares_EggaN_ldist_weight","",9000,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_EggaN_matp_weight","cdist_sumofsquares_EggaN_matp_weight","",172.36607,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_OtherNor_aldist_weight","cdist_sumofsquares_OtherNor_aldist_weight","",400,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_OtherNor_ldist_weight","cdist_sumofsquares_OtherNor_ldist_weight","",7591.360938,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_OtherNor_sexdist_weight","cdist_sumofsquares_OtherNor_sexdist_weight","",5.464418,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_RussianS_ldist_weight","cdist_sumofsquares_RussianS_ldist_weight","",2591.61211,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_TrawlNor_ldist_weight","cdist_sumofsquares_TrawlNor_ldist_weight","",1821.731407,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_TrawlNor_sexdist_weight","cdist_sumofsquares_TrawlNor_sexdist_weight","",40,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_TrawlRus_ldist_weight","cdist_sumofsquares_TrawlRus_ldist_weight","",10702.377617,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_TrawlRus_sexdist_weight","cdist_sumofsquares_TrawlRus_sexdist_weight","",15,FALSE,FALSE,NA,NA,NA
"cdist_sumofsquares_WinterS_ldist_weight","cdist_sumofsquares_WinterS_ldist_weight","",2311.43167,FALSE,FALSE,NA,NA,NA
"project_years","project_years","",0,FALSE,FALSE,NA,NA,NA
